,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Parallel_floor_id,Parallel_floors_count,Distance_max
174,3456026,e6946569-9289-4bca-99c0-23bf1e7936de-0034bc1a,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
175,3456026,e6946569-9289-4bca-99c0-23bf1e7936de-0034bc1a,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
176,3456028,e6946569-9289-4bca-99c0-23bf1e7936de-0034bc1c,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
177,3456028,e6946569-9289-4bca-99c0-23bf1e7936de-0034bc1c,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
178,3456032,e6946569-9289-4bca-99c0-23bf1e7936de-0034bc20,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
179,3456032,e6946569-9289-4bca-99c0-23bf1e7936de-0034bc20,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
180,3456034,e6946569-9289-4bca-99c0-23bf1e7936de-0034bc22,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
181,3456034,e6946569-9289-4bca-99c0-23bf1e7936de-0034bc22,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
182,3466752,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e600,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
183,3466752,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e600,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
184,3466754,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e602,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
185,3466754,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e602,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
186,3466758,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e606,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
187,3466758,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e606,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
188,3466760,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e608,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
189,3466760,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e608,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
190,3466764,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e60c,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
191,3466764,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e60c,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
