,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Type,Normal_to_center_room
82,857545,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15c9,427092,c85e5be0-d8d5-4148-836f-b55e711ef373-00068454,Wall - Timber Clad,"(1.000000000, 0.000000000, 0.000000000)"
83,857545,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15c9,724430,1551350c-45e5-41b8-bdf1-bcfa6794dc6a-000b0dce,Warm Roof - Timber,"(0.000000000, 0.000000000, 1.000000000)"
84,857545,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15c9,428745,c85e5be0-d8d5-4148-836f-b55e711ef373-00068ac9,SIP 202mm Wall - conc clad,"(0.000000000, -1.000000000, 0.000000000)"
85,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,427092,c85e5be0-d8d5-4148-836f-b55e711ef373-00068454,Wall - Timber Clad,"(1.000000000, 0.000000000, 0.000000000)"
86,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,977133,ab343b7e-3705-4b87-bacc-33c06a6cee1d-000ee8ed,Cavity wall_sliders,"(0.000000000, 1.000000000, 0.000000000)"
87,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,849032,98e2f96c-ccbd-4abb-a697-e7e5136106ee-000cf488,Wall - Timber Clad,"(-1.000000000, 0.000000000, 0.000000000)"
88,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,704275,555aa063-b8a7-4b4f-ae07-ad835f8857bb-000abf13,SH_Curtain wall,"(0.000000000, -1.000000000, 0.000000000)"
89,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,655533,87beca50-3847-4f14-8281-4eb8890e91b0-000a00ad,Wall - Timber Clad,"(0.000000000, -1.000000000, 0.000000000)"
90,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,512683,1970f67d-62ee-4fc6-9008-0a9f00762fe0-0007d2ab,Timber Suspended Floor,"(0.000000000, 0.000000000, -1.000000000)"
91,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,724430,1551350c-45e5-41b8-bdf1-bcfa6794dc6a-000b0dce,Warm Roof - Timber,"(0.000000000, 0.000000000, 1.000000000)"
92,906922,b3a4a465-08e5-441a-bd3e-d967e546d52e-000dd6aa,176804,203cff26-4c9d-4eb4-93e5-28d28a01f256-0002b2a4,Generic 150mm,"(0.000000000, 0.000000000, -1.000000000)"
93,906922,b3a4a465-08e5-441a-bd3e-d967e546d52e-000dd6aa,198749,ef57b02a-5e81-49e7-93bb-ae5f002d921c-0003085d,Wall - Timber Clad,"(-1.000000000, 0.000000000, 0.000000000)"
94,906922,b3a4a465-08e5-441a-bd3e-d967e546d52e-000dd6aa,424922,59371552-5800-43eb-9ba3-609565158fc5-00067bda,Interior - 165 Partition (1-hr),"(0.000000000, -1.000000000, 0.000000000)"
95,906922,b3a4a465-08e5-441a-bd3e-d967e546d52e-000dd6aa,906885,b3a4a465-08e5-441a-bd3e-d967e546d52e-000dd685,Interior - 165 Partition (1-hr),"(1.000000000, 0.000000000, 0.000000000)"
96,906922,b3a4a465-08e5-441a-bd3e-d967e546d52e-000dd6aa,422243,59371552-5800-43eb-9ba3-609565158fc5-00067163,Wall - Timber Clad,"(0.000000000, 1.000000000, 0.000000000)"
97,906922,b3a4a465-08e5-441a-bd3e-d967e546d52e-000dd6aa,418183,d85573c2-f8d5-46ae-966a-ac82fa18f500-00066187,Generic 300,"(0.000000000, 0.000000000, 1.000000000)"
98,940325,bac06658-19d8-494b-b87a-559081499f8f-000e5925,418183,d85573c2-f8d5-46ae-966a-ac82fa18f500-00066187,Generic 300,"(0.000000000, 0.000000000, -1.000000000)"
99,940325,bac06658-19d8-494b-b87a-559081499f8f-000e5925,430064,2fc77d67-1af0-4a43-aa66-c544d411df04-00068ff0,Interior - Partition,"(0.000000000, 1.000000000, 0.000000000)"
100,940325,bac06658-19d8-494b-b87a-559081499f8f-000e5925,430318,2fc77d67-1af0-4a43-aa66-c544d411df04-000690ee,Interior - Partition,"(-1.000000000, 0.000000000, 0.000000000)"
101,940325,bac06658-19d8-494b-b87a-559081499f8f-000e5925,939084,bac06658-19d8-494b-b87a-559081499f8f-000e544c,Interior - Partition,"(0.000000000, -1.000000000, 0.000000000)"
102,940325,bac06658-19d8-494b-b87a-559081499f8f-000e5925,938974,bac06658-19d8-494b-b87a-559081499f8f-000e53de,Interior - Partition,"(1.000000000, 0.000000000, 0.000000000)"
103,940325,bac06658-19d8-494b-b87a-559081499f8f-000e5925,243274,a6aa132d-ccd7-408f-b2f9-ed67350c8c3a-0003b64a,SG Metal Panels roof,"(0.000000000, 0.720658447, 0.693290273)"
