,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Width,Height,Perpendicular_walls_id,Perpendicular_walls_count,Parallel_walls_id,Parallel_walls_count,Distance_to_parall,Distance_to_parall_mi,Distance_to_parall_mean,Distance_to_parall_ma,Nearest_walls_id,Angles_to_walls,Angles_to_walls_mi,Angles_to_walls_mean,Angles_to_walls_ma
10,393142,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb6,387704,69a69155-af3a-4ab9-a082-58da18f85acb-0005ea78,0.13849999999999996,2.9999999999999516,"[349688, 349649, 349065, 350789, None]",5,"[None, None, None, None, 349122]",5,"[None, None, None, None, 3.931]",3.931,3.931,3.931,"[None, None, 349065, 350789, None]","[90, 90, 90, 90, 0]",0,72,90
11,393142,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb6,350789,69a69155-af3a-4ab9-a082-58da18f85acb-00055a45,0.2,2.9999999999999516,"[349688, 349649, None, 387704, 349122]",5,"[None, None, 349065, None, None]",5,"[None, None, 2.8, None, None]",2.8,2.8,2.8,"[None, None, None, 387704, 349122]","[90, 90, 0, 90, 90]",0,72,90
12,393142,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb6,349122,69a69155-af3a-4ab9-a082-58da18f85acb-000553c2,0.29999999999999993,2.9999999999999516,"[349688, 349649, 349065, None, 350789]",5,"[None, None, None, 387704, None]",5,"[None, None, None, 3.931, None]",3.931,3.931,3.931,"[None, None, 349065, None, 350789]","[90, 90, 90, 0, 90]",0,72,90
13,393481,69a69155-af3a-4ab9-a082-58da18f85acb-00060109,349122,69a69155-af3a-4ab9-a082-58da18f85acb-000553c2,0.29999999999999993,2.9999999999999516,"[349688, 349649, 350789, None, 350736]",5,"[None, None, None, 349983, None]",5,"[None, None, None, 3.931, None]",3.931,3.931,3.931,"[None, None, 350789, None, 350736]","[90, 90, 90, 0, 90]",0,72,90
14,393481,69a69155-af3a-4ab9-a082-58da18f85acb-00060109,350789,69a69155-af3a-4ab9-a082-58da18f85acb-00055a45,0.2,2.9999999999999516,"[349688, 349649, 349122, 349983, None]",5,"[None, None, None, None, 350736]",5,"[None, None, None, None, 2.542]",2.542,2.542,2.542,"[None, None, 349122, 349983, None]","[90, 90, 90, 90, 0]",0,72,90
15,393481,69a69155-af3a-4ab9-a082-58da18f85acb-00060109,349983,69a69155-af3a-4ab9-a082-58da18f85acb-0005571f,0.13849999999999996,2.9999999999999516,"[349688, 349649, None, 350789, 350736]",5,"[None, None, 349122, None, None]",5,"[None, None, 3.931, None, None]",3.931,3.931,3.931,"[None, None, None, 350789, 350736]","[90, 90, 0, 90, 90]",0,72,90
16,393481,69a69155-af3a-4ab9-a082-58da18f85acb-00060109,350736,69a69155-af3a-4ab9-a082-58da18f85acb-00055a10,0.2,2.9999999999999516,"[349688, 349649, 349122, None, 349983]",5,"[None, None, None, 350789, None]",5,"[None, None, None, 2.542, None]",2.542,2.542,2.542,"[None, None, 349122, None, 349983]","[90, 90, 90, 0, 90]",0,72,90
17,393482,69a69155-af3a-4ab9-a082-58da18f85acb-0006010a,349983,69a69155-af3a-4ab9-a082-58da18f85acb-0005571f,0.13849999999999996,2.9999999999999516,"[349688, 349649, 352138, None, 350736]",5,"[None, None, None, 352274, None]",5,"[None, None, None, 1.761, None]",1.761,1.761,1.761,"[None, None, 352138, None, 350736]","[90, 90, 90, 0, 90]",0,72,90
18,393482,69a69155-af3a-4ab9-a082-58da18f85acb-0006010a,352138,69a69155-af3a-4ab9-a082-58da18f85acb-00055f8a,0.13849999999999996,2.9999999999999516,"[349688, 349649, 349983, 352274, None]",5,"[None, None, None, None, 350736]",5,"[None, None, None, None, 2.579]",2.579,2.579,2.579,"[None, None, 349983, 352274, None]","[90, 90, 90, 90, 0]",0,72,90
19,393482,69a69155-af3a-4ab9-a082-58da18f85acb-0006010a,352274,69a69155-af3a-4ab9-a082-58da18f85acb-00056012,0.07900000000000001,2.9999999999999516,"[349688, 349649, None, 352138, 350736]",5,"[None, None, 349983, None, None]",5,"[None, None, 1.761, None, None]",1.761,1.761,1.761,"[None, None, None, 352138, 350736]","[90, 90, 0, 90, 90]",0,72,90
