ifcguid,head_height,type_ifcguid,classification
3fetmy$FH9ZAKfQ_vq7_Tb,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Ta,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_TZ,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_TY,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_TX,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_TW,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Tl,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Tk,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Tj,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Ti,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Th,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Tg,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Tf,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Te,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_TN,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_TM,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_TL,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_TK,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
